	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20
Adipocytes	1	0.234416666666667	1	1	0.00897000000000003	0.00143333333333329	0.373716666666667	0.636203333333333	0.06521	0.16743	0.13169	0.18305	0.204853333333333	1	0.171146666666667	1	1	1	1	1
Astrocytes	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1
B-cells	0	0	0	0	0.000439999999999996	0	0	0	0	0	1	0	1	1	1	1	0	1	8.66666666666793e-05	1
Basophils	1	0	1	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0
CD4+ T-cells	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1
CD4+ Tcm	1	0.438556666666667	1	1	0.32534	0.518663333333333	0.267463333333333	1	1	1	1	1	1	1	1	1	0.0797233333333334	1	1	1
CD4+ Tem	0.0516833333333333	0.053	0.01312	0	0.0545333333333333	0	0	0.03435	0.187756666666667	0	1	0.13251	1	1	1	1	1	1	1	1
CD4+ memory T-cells	0.998736666666667	0.30306	0.317786666666667	0.00102666666666662	0.32159	0.226486666666667	0.00057666666666667	0.998736666666667	0.263146666666667	0	1	1	0.322863333333333	1	1	1	1	1	1	1
CD4+ naive T-cells	1	1	1	0	1	1	0.0348966666666667	1	1	0	1	1	1	1	1	1	1	1	1	1
CD8+ T-cells	0	1	1	0	1	0.0203833333333333	0.01429	1	1	0	1	1	1	1	1	0.161646666666667	1	0.0378533333333333	1	0.06897
CD8+ Tcm	0	0.05564	0.00460333333333329	0	0.02974	0	0	0	0	0	0.302153333333333	1	1	1	1	1	1	0.20346	1	0.90527
CD8+ Tem	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1
CD8+ naive T-cells	0.379723333333333	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.258383333333333	1	0.311203333333333	1	0.316506666666667
CLP	0.03234	0.00806666666666667	0.151043333333333	1	0.137576666666667	0.07891	0.458706666666667	0.0615633333333333	0.00129333333333337	0.0977033333333334	0.0245366666666667	0.00622666666666671	0.0674766666666666	0.05741	0.01559	9.9999999999989e-05	0	0.25094	0	0.19471
CMP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Chondrocytes	1	1	0	1	1	1	1	1	0.134403333333333	1	0.000403333333333311	1	1	0.02918	0.0891366666666666	1	1	0.0736666666666667	0.00260000000000005	0.380326666666667
