"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13"
CFB,3.038773814,3.433102372,3.273650158,3.316779832,5.314034676,3.200242912,3.316779832,3.018588343,4.587746647,3.316779832,4.293056603,5.306256096,6.36155771
SNX19,6.614205765,5.871328469,5.898053529,6.348074667,6.445401789,7.684545391,7.274872245,6.933195359,7.4815378,5.907677466,4.943242271,6.271473182,6.358688219
SNX19,7.67025752,7.361054867,7.170599524,7.835726037,8.285270488,8.936649371,8.727744949,8.628461988,8.878025232,7.941140013,7.552145816,8.270697827,8.303148456
SPOCK1,6.552237176,10.05704254,4.912473987,7.946192735,4.93967806,12.3931993,8.390532485,7.212471956,10.06273015,9.226288821,8.641246452,9.270130671,8.220140035
MXI1,10.00318549,9.696331034,11.15664764,10.12018126,9.920162293,10.21826919,9.453819501,9.783668352,9.923073344,10.75752946,9.469426326,10.77853542,10.91574804
TRAM2,5.631783233,7.268377838,5.275544212,6.827106456,6.699313898,5.412316852,5.403700801,4.930754015,5.699661498,3.273368606,6.019710587,6.078133532,5.174570842
CBFB,11.11033867,11.2756499,11.1777558,11.01625002,10.69248032,10.33973888,10.05422488,10.78716991,10.19916895,10.17143107,9.883506945,9.10601163,9.82203001
RAB3GAP2,11.27507727,10.85443968,9.048143276,10.71873071,10.54321709,10.96683901,10.60577376,10.69485774,10.50639864,9.604302222,10.06377261,9.173790437,10.33774055
RAB3GAP2,8.536049081,7.871193552,4.965867808,7.476359434,7.161895652,8.125710698,7.598322223,7.615308809,7.295936848,6.106475452,5.213108125,5.611853544,6.565129309
SEC24D,8.776863613,8.587935305,10.2372183,9.006639661,8.837423929,9.936330654,9.743073559,8.70548913,8.878575947,9.65335259,9.262841064,9.73310819,9.384025463
SERPINA3,2.24706096,7.946243299,4.909621151,5.294730643,9.66532589,5.080374061,5.088399539,8.769464687,6.412231756,5.720429346,11.19468004,9.321416495,10.93847828
LEPROT,8.893880372,9.897407453,10.09823256,9.729703879,9.847848058,10.0104677,9.615754499,8.922996311,10.17459105,9.778467074,9.077519978,9.472455849,9.593121805
NKTR,9.829384379,9.129077704,10.98664613,9.360183557,10.73241488,9.256721662,10.50759517,9.647953523,9.977433966,10.26103413,12.76805346,13.1235488,12.45184054
NKTR,7.378641385,6.755000742,7.875520614,7.213597287,8.540059092,7.191256719,7.986308589,7.190874031,7.023139515,7.257870914,8.61592003,9.30828918,9.356704797
GNPDA1,9.722571055,9.18466289,9.419057161,9.648042377,9.45301923,9.612524309,8.440849288,8.949819137,8.844559289,8.802978668,7.957024277,7.855345151,9.493902899
KIAA0430,9.759862585,9.803592216,8.88380283,9.829981797,9.200845065,9.377362627,9.424773985,10.58973643,9.575459296,8.274527073,7.855311005,9.035513802,10.27018996
BAG1,11.2544305,11.63252315,12.02834425,11.4216923,10.75097094,12.13331107,11.07764596,11.30937674,10.43740091,10.49247555,9.993050635,9.68493692,10.34491227
RGS2,12.69113431,13.09928536,12.32780416,13.1845753,12.20598,12.08536187,12.19717055,12.46167815,12.47857835,13.34267936,12.89686157,12.81331187,12.47777588
BASP1,9.420098567,10.37108346,8.41109283,7.080528563,10.5854105,10.38006187,8.345960233,8.601787884,10.09904171,9.495619904,9.019267473,9.768767097,9.337969189
PISD,6.925046705,7.165784316,7.459165866,7.357846986,6.376028074,6.561395695,8.186965101,7.537639469,7.882085125,7.385720029,7.839673918,7.329367016,7.644494955
KLF10,10.58820104,9.268493469,9.664571127,9.644493615,10.02785595,9.535393724,9.738169289,8.670774652,9.004973458,10.0756698,11.0659377,11.71751646,8.526925727
NSF,12.74386188,12.37014151,12.06160411,12.38657529,11.47501601,12.35099159,12.97410902,13.04496915,12.06798863,11.71577241,12.06698123,10.86483475,11.92421335
AP3S2,6.784833681,6.761462417,6.206989046,6.655110008,5.508788939,7.363022,5.409389407,6.249405898,5.449693051,5.286156475,4.901293653,4.459723774,4.899654607
AP3S2,9.114612597,9.049670055,8.904605572,8.996020011,8.087923431,9.692726691,8.086906576,9.127769772,8.607095432,8.921027029,8.28814251,8.044434643,8.245719605
CARS,6.953401162,8.096800134,7.466263715,8.280851955,8.211277944,8.777860473,8.292562995,8.288541545,8.732135284,7.999723914,8.860519673,7.679818813,7.0277719
COL1A2,9.798252524,7.879803959,6.045182012,8.374705227,11.27717586,9.520447045,9.416061404,8.419681107,7.717148047,7.837674978,8.944001972,10.23102284,7.904356802
COL1A2,9.578156496,6.865363263,4.564931296,7.71343928,10.51169603,8.330530529,7.931779008,6.753426256,6.341831136,7.144101934,7.611196583,9.511164011,7.569616577
PRPF31,5.536245569,6.445255375,5.135725674,6.549236398,5.506041884,6.566323293,5.797291365,5.964486696,5.630197263,5.023598306,4.281113446,3.695844686,3.661331214
IFI27,9.007959728,6.018012139,6.160744593,8.909851481,9.580571646,7.001105804,7.885175243,8.585066453,5.819366921,5.449422785,5.548394849,5.637792365,5.329127349
ERCC5,9.09877302,9.03037899,9.980194697,9.133526338,9.34049726,9.960305769,8.75274664,9.468662581,8.363220553,8.745599867,9.387117613,9.620849301,9.105969055
YIF1A,8.587891479,8.744552727,7.528219198,8.209886651,9.15455502,10.46868839,9.685821227,9.806389836,9.426723899,8.493764938,8.138903228,7.978678312,7.357136142
IGSF3,4.160663091,7.883350006,7.894724198,7.733738135,6.993778003,4.996718703,7.940992933,7.470163439,7.795707426,7.372847666,6.55363383,6.113763058,7.353282145
ACSL4,6.698719778,7.096685275,6.698711091,6.696776979,6.300685101,6.527314957,6.251002555,4.901962421,6.331984262,6.271655102,5.947837385,7.176866584,6.593704224
MAP2K2,8.352147154,9.097251632,9.633552363,8.991465333,8.191722328,10.28158108,8.552472211,8.808761423,9.293132135,10.00097387,9.975033066,9.093830034,8.861824549
MPC2,11.14480901,10.40736552,9.072276017,10.33192721,9.860532954,10.28339494,10.68942939,10.27512499,10.88286082,9.845215598,8.86025311,9.101530659,10.25514637
DBI,10.82920434,11.78469281,10.69695815,11.43070024,11.40742178,11.76040636,10.33061603,10.56255962,11.19978991,10.63898529,9.782231941,10.07350707,11.16373511
MYC,6.517565263,6.848670777,3.432632074,7.612711258,8.559336838,3.830890461,6.12061767,3.96043376,3.664511424,5.939082955,8.030056868,8.046305651,4.308298419
SLC35B1,10.4245796,10.38572685,9.741124717,9.741124717,10.25547469,10.75620044,10.16294595,10.23201943,9.540179086,8.774132994,8.730125298,7.745549671,7.509334288
CYP1B1,6.112058956,5.275013765,5.610096037,4.277989829,7.246328213,6.034166607,4.206488124,2.933816449,5.491570918,6.59348721,8.916190943,8.050026559,5.832679408
CYP1B1,6.268240396,5.679502316,5.648070259,4.493164845,7.87666181,6.429075512,4.781662328,4.290019231,6.072174336,7.061451335,9.338281752,8.791737972,6.573582403
CYP1B1,5.822635703,4.663312267,4.689191311,4.090466462,6.98085783,5.570690567,4.31992604,2.829671443,5.761048595,7.374142409,8.616179618,8.291551421,5.867875267
IDS,8.604622282,8.037777442,7.779910475,8.005794012,7.421268966,7.331127129,7.892829105,7.611771317,7.43973248,7.220067811,6.789456094,6.387887309,7.404506887
ST5,5.666814186,6.280710651,6.645784825,6.382829002,5.562690865,6.242076524,6.585446857,6.931238367,7.409718736,7.336898204,8.345219884,8.249612167,7.018952725
ERLIN1,8.120926771,7.66997528,7.362527459,8.109641784,8.542835144,7.96531986,8.029344952,7.69846095,8.138898612,8.268135563,7.463033819,7.455053647,8.705157218
AP3S1,11.97998574,11.75126727,12.23539229,11.69825233,11.41092499,12.87298153,12.16709216,12.79575879,12.12017047,12.23799185,11.98248156,11.41167368,11.99344929
NOTCH2,7.477250044,6.08702291,3.745409519,6.43680229,7.45039687,5.59828794,5.374408683,4.938834726,7.837842377,7.718216148,9.135408963,9.879094498,8.157347651
ERLIN1,2.864737056,2.342019917,2.314907749,2.532133396,2.689896774,2.532133396,2.634070727,2.627244285,2.528609606,2.314907749,2.342019917,2.242585379,2.314907749
DECR1,9.586016777,8.876642521,9.236711207,8.965535303,9.928859372,9.834153198,9.553772696,9.540514635,10.03975891,8.964732808,8.701969466,8.851968364,8.556544972
RXRA,7.714134987,7.95882055,8.52924049,8.494189614,9.384431331,8.093630562,8.961518625,8.533773907,8.250066104,8.128444019,8.701340857,8.47749703,8.667167146
CTSK,5.861001066,3.503548906,5.446134348,3.68624659,5.406229398,4.084943274,4.272186579,4.234019001,3.647108088,3.69433274,4.26091903,4.653685529,5.13349271
GTF2H1,5.223680466,5.678752822,3.818301498,5.565057798,5.434639324,5.734459226,5.293518391,5.830887963,5.482994327,4.137563484,3.776325533,3.320861267,4.69090912
ERBB3,2.240090673,2.342937921,2.241040509,2.241040509,2.273773852,2.240090673,2.240090673,2.240090673,4.46654398,2.379294164,2.241040509,2.241250147,2.714831951
HDAC5,8.146382254,7.798560116,8.147190167,7.830023679,7.087968787,8.885342558,7.365263868,7.715425716,8.629954369,8.549948346,9.438757589,8.519694975,9.051651033
PRSS23,7.676667266,9.393546318,8.508768805,8.782369722,9.795359584,8.662514931,8.598528816,7.502487783,9.896724215,8.580186653,8.228701256,8.087460414,7.511848792
LPIN2,8.06369897,8.451595499,7.481350645,7.605526105,7.355725837,8.987592324,6.975749536,7.382708886,7.283802674,7.14528588,7.221611867,6.302514767,7.476027709
LPIN2,8.515154738,8.390354292,8.331015794,8.312729528,8.591314458,9.253346184,7.738621748,8.342432663,7.756584552,7.553302627,7.553814465,7.945549898,8.256729613
DDX46,9.564019044,9.819261197,8.511382395,9.699110531,9.497081208,10.15918621,9.609552439,10.18729371,9.749209444,8.847961656,8.47695305,7.945846815,9.225784536
PFKFB3,7.878800778,10.36041529,9.39549287,10.15084964,9.037003428,8.651052033,8.703357281,9.147626058,9.300962468,9.537326866,11.27805513,11.89041039,8.526413705
PCOLCE,3.65064131,4.823704549,5.372347802,6.490740688,8.027237642,5.78269817,5.153139,4.847947579,4.596603996,5.546872246,7.186707602,7.532279344,5.326574168
COPS2,11.70860006,11.13017573,10.82847569,11.37653932,10.36936262,11.87791535,11.0133599,11.72209395,11.62864211,10.99374672,10.30731514,9.620404668,11.50617719
CTNNAL1,8.590581134,6.717217046,7.973803067,7.78370156,8.466255517,8.108728079,8.376671831,7.467784593,8.614078249,9.115136995,10.59473937,10.52199052,8.565395002
MPI,5.443938205,4.550575035,4.449372959,5.132506849,4.359732343,5.543119246,5.607469792,5.36273449,5.36273449,4.828433313,5.45585174,3.75833403,4.141557108
TMEM147,10.56357155,11.25306774,10.28275827,10.5472728,10.92562968,11.10264619,10.23867963,9.875692391,10.23867963,9.100321007,9.174405041,8.281524687,9.263908325
TRIB2,6.612590386,6.609053777,7.335080016,8.369660679,8.145598942,7.749569693,6.705506193,8.26292123,7.011315389,7.14650601,7.291085112,7.876075138,7.889895257
TRIB2,4.281859116,4.492413525,4.649033484,6.023429751,5.545980537,5.619083027,4.444082872,6.287585256,4.732697383,4.851221476,3.993062033,4.422633791,5.177856963
DHRS3,9.276492563,7.400410384,7.920747416,8.713400859,8.797746768,8.619342715,6.771415318,9.000247466,8.144832466,7.299708409,7.905705454,7.400907223,7.504978958
RANBP1,9.900189286,10.59784591,9.782969337,10.28344693,9.583219641,9.677571368,9.714476672,10.05486627,10.10190399,8.970087383,9.087066738,8.030989986,8.63176493
AFG3L2,7.928505152,8.009975777,7.738169749,8.036561719,8.417545779,9.205711406,8.395617668,8.338864458,8.10084558,7.222082773,7.451005648,6.759002295,7.261725591
H2AFV,10.8223598,10.13020916,9.497528669,10.03084598,9.334400069,10.61569226,9.685092617,10.28939183,10.50079687,8.732393651,8.358373158,7.969272903,9.854431396
FXYD3,2.764814364,2.764814364,2.764814364,2.764814364,2.747900257,2.630354884,2.764814364,2.840928534,6.229371602,3.034236349,2.764814364,2.764814364,3.865347754
FXYD3,2.582773029,2.926848717,2.926848717,2.926848717,2.926848717,2.598467093,2.582773029,3.425024933,8.590377148,4.96088154,3.04599603,2.932784703,6.347486587
IKBKAP,10.81390333,10.29328079,8.781300731,10.42999635,11.45590887,10.79129219,11.04064376,11.20276419,10.68583259,9.71205438,9.881628156,10.39824929,11.30767985
CSH1,12.87053907,12.29442629,13.73674768,13.81841778,13.91632387,11.88514726,14.75559782,14.74634375,14.27200372,14.2466027,13.46445454,13.8265586,14.27905435
PPIE,6.564282176,6.579846841,6.711250254,6.664376194,5.978474231,7.437465661,6.08645316,6.524827957,6.803489486,7.38529233,6.940466223,6.645986748,6.033047297
TBCC,9.558400224,9.0509013,9.08776055,9.222107655,8.322478109,9.120005916,8.880392878,9.140117836,7.98388725,8.335837881,8.322478109,7.590463404,7.44276125
SLC2A3,6.179076446,7.248695065,7.331911978,5.890090908,6.873034259,6.262448132,6.566848434,6.877652467,7.26498581,6.47727244,7.95225409,8.873657829,5.41727838
SLC2A3,6.265617295,6.675557264,6.181494906,6.128321576,6.50878682,5.81730581,6.676140125,6.357385178,6.853701439,5.604657683,6.945708829,7.958369051,5.69001984
SLC2A3,8.098364478,8.789989071,8.669149233,8.318743579,9.041996943,7.645292679,8.854030618,8.156451143,9.557755695,9.476228731,10.95210739,11.33943098,8.854030618
DNAJB2,7.121349286,7.178678873,8.237428904,7.6388212,7.020272965,8.786380257,8.180490969,8.961512467,8.632943289,8.691186536,9.017914342,8.744994453,8.789247027
ACADM,10.42404083,11.07441357,10.96823758,11.25569415,10.03381575,9.830649021,11.28688395,10.94439506,10.91547786,10.91315899,9.488107708,10.06279576,9.748321672
KIAA0101,4.229908789,4.063933582,7.320873528,5.256901742,6.506957899,6.088504606,6.368473065,7.780286734,4.434141998,4.282680245,3.538990712,4.305105104,4.501200333
SNRPB2,11.9697152,11.26460363,11.47966457,11.03315037,10.77658662,11.51162223,11.0552223,10.90846741,10.95272677,10.13044517,10.10291853,9.631942932,10.07151378
SSFA2,8.511136138,8.391482863,8.814639892,9.414352602,10.06408562,8.753765066,9.38884211,8.878489601,10.20546037,9.436327773,9.813567254,10.38150932,10.09098744
SNAP25,10.99571205,10.18490786,9.048591112,9.750028886,9.777326735,10.05645328,9.760186042,10.44944759,9.561434223,8.04934363,8.672684714,7.398049538,7.870110148
ATG5,8.862532722,8.531301549,7.529809226,8.585743572,7.907092075,8.817195378,8.258386785,8.356038862,8.755420913,7.509576326,6.672025418,5.881341994,7.959689421
DLG1,7.794835457,8.589332477,6.819433576,8.298070948,8.185677115,7.689283989,8.233038893,8.028315609,8.582289803,7.329134974,6.674555895,7.170671351,8.260143595
DLG1,5.353855174,5.735681651,4.390113533,5.54472023,5.584384424,4.981722862,5.663711913,4.993693859,5.706386296,3.77619272,4.375834832,5.953018708,6.668390007
MLH1,10.69730038,10.75366856,9.666251458,10.78040287,10.45767792,10.38237842,10.38524005,10.76629663,10.23642253,9.457456085,9.45355179,8.933911349,9.801691202
SPOCK2,5.370525411,7.320171254,7.952411291,6.728175414,6.941747358,7.059725002,5.583837264,5.283807104,6.210113253,5.583837264,5.583837264,5.266587453,5.279142707
SPOCK2,8.630806594,9.777495834,10.72862825,8.952843488,9.775581954,9.723715673,8.497813866,8.319437297,8.901583286,8.52507263,9.35168833,8.375167849,7.986422647
PRSS8,2.240090673,2.240090673,2.240090673,2.240090673,2.240090673,2.240090673,2.240090673,2.240090673,3.613820143,2.352326127,4.507732308,3.417903145,2.240090673
PRPSAP1,8.885760208,9.334441816,8.404555927,9.582823936,8.945486912,8.114469101,9.530452146,9.255480287,9.528755006,8.205847473,7.413097316,8.652731169,9.350303863
IRF1,6.714340575,5.551142903,5.772896463,5.808588093,6.038358823,7.104112363,4.986221207,5.322358706,5.876386256,5.924255841,7.118218225,6.950574837,5.842026053
DHFR,7.671882031,7.968950734,8.154837617,8.666589804,8.310881502,8.135816102,8.517311816,9.441551204,8.389553106,7.707425265,7.435394905,6.886771987,8.026293967
DHFR,5.620003673,4.86849515,4.049581346,5.611637298,5.014552747,6.33993136,5.402207198,7.566036951,6.031104836,2.422760697,3.257932164,2.579207878,4.13566156
DHFR,8.98944232,9.14817302,9.247470787,9.813711952,9.394769658,9.337298344,9.475455179,10.6922571,9.247470787,8.603772005,8.653681538,8.036876304,9.215322868
FADD,6.627110522,6.50816186,4.947872491,6.625278745,6.453598043,7.029971853,6.560736465,7.042765475,7.239846557,6.498769408,6.997176354,5.06781175,6.186596444
CHMP2B,11.84359283,11.78397249,10.70446122,12.12882699,11.55764595,11.74470825,12.23664911,11.84921635,11.98376765,10.7540133,10.5627851,10.73167991,10.90351112
CHMP2B,10.94669297,10.99530066,9.806026932,11.04570716,10.76454717,10.84193753,11.81702298,10.90292234,11.29409243,10.14416344,10.36621981,10.02109211,9.947270265
CHMP2B,10.16236043,10.8088425,10.00042721,10.63217183,10.015883,10.34164571,11.09688392,10.31719903,10.57212023,10.18448423,9.92672356,8.713738259,8.962123755
HMGCR,8.387279851,8.632933154,8.058845125,8.831615679,8.14049783,10.02897374,9.210399896,9.193884367,8.782505234,8.367171753,8.414001214,7.575242003,7.60608798
HMGCR,7.767516772,8.394319974,8.844150225,8.547469706,7.797039941,9.37843029,8.779402409,8.686809358,8.172559516,8.975410715,8.063285858,8.805411975,8.037318947
GMFB,8.011740526,7.149674354,8.210697463,6.851674002,6.091718859,7.82770551,6.953864228,6.202038511,7.178936879,7.403453422,6.854390772,6.799293819,6.195208585
VAMP8,9.354537835,7.143828629,4.004035637,8.023587418,8.702765853,6.699566765,7.979250303,7.540861954,9.110060782,8.419469048,7.728311156,7.495855534,8.754800506
ARHGEF7,4.862564722,4.862564722,5.045960787,4.073398291,4.732860114,5.272094226,4.862564722,4.862564722,5.096274853,4.862564722,6.944063045,6.663530544,6.528807896
ARHGEF7,7.347497164,7.323118572,7.096090869,7.212214661,8.462539973,8.178343932,7.802216903,8.181310909,7.463066307,7.315389235,8.719985792,9.206786521,9.085703893
VAPB,8.111605537,9.019181042,8.119237995,8.195981886,6.897651665,7.749413113,7.896728776,7.001340862,7.651789269,6.786253308,6.234728203,7.082939544,7.17643612
CRIM1,6.370295447,6.573282474,5.155590814,7.452871626,8.76837257,5.795550925,5.518304017,4.470372835,7.991829473,7.787129606,8.429261952,8.546895885,8.676517255
CRIM1,4.64445199,4.378226281,4.0638255,5.522030194,6.836092006,3.961697692,4.020062017,3.67566329,6.333893309,6.392534145,7.026739345,7.669678968,7.121699666
GSTM3,9.985536998,10.11185139,9.13594834,11.00539901,9.647246249,7.595825969,10.47727307,11.02360038,11.22139643,9.739872391,9.629430165,9.092393129,9.986069623
MYLK,8.128092419,8.451518056,6.347044203,7.584749924,9.244754435,5.571130615,6.174557065,5.005452289,6.272234662,6.106425675,6.993842017,7.608092516,6.005463807
MCRS1,5.84093144,4.653737455,4.588971771,4.439199193,4.450448898,5.330042371,4.605584391,4.737093834,4.816018588,4.605870882,3.993878478,4.40334028,4.015799132
HSPA13,13.01805531,12.45853336,13.24021147,12.58021651,12.1385701,13.45635383,12.69875949,12.58900731,12.20694127,12.75408212,11.91522169,11.7307874,11.35552491
HSPA13,10.60556394,9.991350703,10.4728504,9.617245725,9.865680108,11.05217539,10.25542836,10.068623,9.870768682,9.427693365,9.545761717,8.587512137,8.281876355
C14orf1,9.050777285,8.1727206,9.111665085,8.130104099,7.615548183,9.787665366,9.092745826,9.020608925,9.233397954,9.768963475,8.66109869,8.841863783,8.714116517
ARL2,7.51555671,6.850641058,5.867307651,7.290010107,7.226569834,7.241737733,7.242508737,7.708764295,7.790723108,7.30319177,6.431784319,5.996660474,6.61222723
SVIL,9.042981604,6.080966432,5.248012093,8.393435958,7.480360003,8.591771189,7.708635861,8.566576409,8.050145523,8.427694773,8.96928698,8.874971596,8.24004568
SVIL,6.684220562,4.915799606,4.230980802,6.178183685,4.92912209,6.148361223,5.131062663,5.463447965,6.01327464,4.915799606,5.214057983,5.372566851,4.932340913
DLGAP4,7.201420242,7.29662818,7.563477217,7.335901929,7.515940076,7.695783093,6.82930262,6.205487781,7.569023646,6.79854474,8.621282147,8.077158278,7.567443919
CSNK1G2,7.08340673,7.645351511,8.334396283,7.509544388,7.320131928,8.036372086,7.509544388,6.687315728,8.079621437,8.230505086,10.31360618,9.172121652,8.672749139
CRABP2,2.38258734,2.38258734,2.38258734,2.38258734,2.38258734,2.38258734,2.38258734,2.38258734,4.258091284,5.229551598,3.386788974,4.815622775,2.38258734
DDX19A,5.796487766,5.661309027,4.857920639,5.238404257,4.649685095,6.232279488,5.418643326,5.462482539,5.559297163,4.182571211,4.824586691,4.151776048,4.182571211
HMGN4,10.11009305,9.468579002,8.557490006,9.56145497,8.523342301,9.300530026,9.58894798,9.761404689,9.888417576,8.769189867,8.611503554,7.669292682,9.095366046
POLR2L,4.72706742,4.903312331,4.777593375,5.456515121,4.777593375,5.445374726,4.845131579,6.474577117,6.328981666,5.830962559,5.028569488,4.539899339,4.845131579
AK1,9.123585692,8.486297294,8.854038307,8.784013167,9.74708603,9.846114446,9.101507723,9.201776844,9.389026702,9.471782658,9.182677724,8.233143792,7.466654665
TYMS,5.115548491,7.250928342,7.58086822,8.504908261,8.543587379,4.618218176,4.961939417,5.366939439,4.233699788,3.372049817,3.262150599,3.249022018,3.249068359
SSBP1,11.72254271,11.7623713,10.8846573,11.46113491,11.29182217,12.03160624,11.10577945,11.98758093,11.23311603,10.30167451,10.06556389,9.141968026,10.33596501
GDE1,9.21240024,9.376978578,7.03120346,9.239809455,9.462135619,10.41716468,9.473451344,8.998064251,9.416610301,6.692574387,6.558379884,5.3785929,8.032462328
LEPROTL1,9.394110048,10.02513383,9.677592549,9.58500109,9.424167503,9.622388771,9.577996813,9.089746066,9.310024981,8.815136322,8.513301922,8.136300769,8.623822671
LEPROTL1,9.318368519,9.20577619,9.128181593,8.571519574,8.902507524,9.192303111,8.821349935,8.414355765,8.739377223,7.816683245,8.457844841,7.23337266,7.846627004
ENSA,9.888701106,9.302480433,9.726656989,9.181864069,8.968092945,9.676432472,9.719384426,9.831937196,10.61525799,9.9724722,10.27437876,9.536794679,8.690447382
IRF6,2.240090673,2.856251895,2.240090673,4.313302048,2.856251895,3.383990435,5.140805248,5.126230096,6.976113303,5.305353177,6.428460771,5.140805248,5.140805248
S100A13,9.129542705,7.790854446,7.988837813,7.724339034,7.233340174,6.477043581,5.748220847,6.057961721,9.21983327,8.624311649,8.388395356,7.699546421,7.674623142
NRIP1,9.462638791,9.606399568,9.535078929,9.182201454,7.997635101,9.390143684,9.007931562,8.760364504,8.622378808,9.482061691,10.92049429,10.56484965,8.613619563
NRIP1,9.2971049,9.471720468,9.948490187,8.945999617,7.28074626,8.885027154,8.676940464,8.396800588,8.506656457,9.148488412,10.78640948,10.3423528,8.898923391
HTATSF1,10.41782193,12.1017394,10.83083321,11.45429663,10.44405638,10.67566594,10.753393,9.88687595,9.827977073,9.982674875,9.403132853,8.619387879,9.377470988
HTATSF1,13.54548078,14.29356158,14.13158598,14.19306422,14.04648423,13.71777594,14.01247745,13.31097785,13.24208581,13.20881376,12.9511425,13.13873185,13.31619838
ADAM10,6.171774479,7.155726095,6.549532033,6.471009816,6.349587527,7.470223593,6.485613755,6.297763424,6.956059197,5.424863562,4.856805968,5.424863562,5.902459826
GUSB,9.367075262,10.28106782,9.922805578,9.430688179,10.40148943,11.07415166,9.071450826,8.705695575,9.738208715,8.167637359,9.369141935,8.358575668,8.608448889
NDST1,5.497033625,5.567975947,5.769736965,5.619655969,6.834926243,5.318235021,5.736438568,4.559168809,5.321751321,4.820904316,5.619655969,5.25378761,4.924722916
EPS8,8.826348939,6.800817206,6.233218701,8.746421006,9.680789387,8.669570729,9.060048164,7.85688021,7.461797683,8.442523892,9.599407193,9.373139306,8.56113705
CTPS1,3.880255202,7.740352958,6.7734764,7.084804781,5.79863688,6.150840569,5.467632296,5.79863688,5.79863688,5.79863688,6.326442277,5.649374932,5.79863688
SLC30A9,11.55142424,11.27198016,10.98941388,11.36540206,11.17655662,10.63309647,11.07815588,11.16011306,11.19507496,10.56770424,9.983120882,9.345093182,9.748819291
MECP2,7.227939725,7.244560416,7.818161486,7.325486492,7.150765517,7.634249871,7.54721996,7.079210517,8.032103224,7.4656293,8.149038853,7.971051218,8.094306833
MECP2,4.955434947,4.837900444,5.153069896,4.743305371,4.907702232,5.640042433,5.141615376,5.153069896,5.297303119,5.15278477,5.461635563,5.248007831,5.153069896
PLOD2,8.441991965,6.221558671,6.250429835,8.008067005,7.751927007,3.662200187,7.742751375,7.995892362,8.090407372,6.613322867,8.358264585,8.550283516,8.325568906
PLOD2,8.879296185,6.409601504,8.294013001,8.680071216,8.03737423,4.640762004,8.185568694,8.180472629,8.589198324,8.680071216,9.705241072,9.843860838,9.208782051
EAPP,10.54352185,9.942283104,10.21310226,10.23332458,9.698616235,10.62042372,10.55552838,10.32141045,9.927081521,10.00461716,9.094713139,8.73715357,9.365842556
LYN,8.94466379,6.988680076,6.059529535,8.151094734,7.468099433,9.263917301,5.599291053,5.831162709,7.416561423,7.435968701,6.265627615,7.32681074,7.339687234
LYN,9.167723901,6.949971906,4.839463893,7.614432683,7.090684547,9.186136814,5.939163527,4.672471681,7.587342841,7.203203878,5.299954616,6.335297198,7.203203878
SERPINE1,4.932056055,2.573495667,3.07008157,2.793162844,3.37722916,3.07008157,3.092398229,4.427749524,2.692240672,3.899829522,9.585932106,7.827468678,3.07008157
SERPINE1,4.990883163,2.359739249,2.364010116,2.347321498,2.662255477,2.364010116,2.364010116,2.364010116,2.364010116,2.364010116,9.456999427,6.746676234,2.260324705
TOPBP1,8.209877494,8.845522422,8.544938169,8.517798627,8.982064409,7.921813343,8.324828651,7.647978383,7.785001694,7.467543697,6.938517458,6.604124974,6.943727585
POLR2K,12.32095818,11.97189052,11.22233023,11.88937413,11.38734214,11.75744425,11.35484133,11.89975864,11.32281425,10.79458915,9.473264069,9.78153694,10.78016124
ICAM1,5.030907106,3.495710288,4.350072341,3.233740078,3.842712968,3.218473165,3.201293864,3.218473165,3.191277789,3.195454687,7.695903727,8.511044438,3.218473165
ICAM1,3.774540919,2.240090673,2.256733997,2.249466251,2.889177948,2.256733997,2.256733997,2.248457706,2.249466251,2.256733997,4.731875001,8.409301177,2.601566976
TNFAIP3,4.494274636,2.837341003,4.520110907,2.985216461,5.581313431,2.445109095,4.051511792,4.560531346,2.837341003,3.174729389,6.117808311,8.291294992,2.837341003
TNFAIP3,7.236773805,5.375416007,7.767409846,6.119271592,8.06864487,4.174471572,6.877651048,7.381731941,5.521186892,6.846478584,9.307401775,10.55672784,5.408842178
MEN1,4.92013155,4.986795395,4.83431994,4.319519946,4.969349202,6.179573729,5.659830597,5.328835052,6.664904601,5.085816902,5.429949059,5.172222192,5.224567486
NRAS,5.026726248,6.491276381,6.252887753,5.658081176,5.485030226,5.587585078,4.536719037,4.805930687,6.280006785,5.364812501,5.039436428,5.594198302,5.166030241
KIAA0195,4.855162359,5.059575813,5.371930359,4.818341963,4.778295265,4.832683028,5.245814178,5.086194131,5.905514841,5.086194131,5.461253292,5.612840924,6.909035906
LPGAT1,10.33882903,10.22272735,10.21719692,10.01146377,9.50670265,8.705231222,9.436798356,8.637751422,9.585479164,9.496901913,8.917383742,9.759258854,9.759258854
APBB1,4.015616643,4.604302768,4.202512135,4.604302768,4.409824279,6.525663489,5.299658102,5.840799004,6.100187688,6.207717521,6.435743582,5.299658102,5.789018725
MARCH7,8.727778576,9.234432335,7.845044775,9.013852541,9.132234732,8.456189939,9.143153783,8.918255612,8.587406359,7.851418514,8.114342854,7.869381006,8.62102234
MANF,10.59205724,10.25342268,10.1788114,9.678425174,11.05793504,10.75571497,10.04208523,10.80541938,10.89842065,9.358168749,9.886189432,8.825872761,9.04383638
SERTAD2,6.68372619,7.660765008,7.375001233,7.52838082,6.967186618,8.010475181,7.619700124,7.354603707,8.017541146,7.848862609,7.002463406,7.65857526,8.644444502
