"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13"
LEAP2,2.981001875,2.885765476,2.704875797,3.519065616,2.749158241,3.780273855,3.415484573,4.549771729,2.501430068,2.868256775,2.240090673,3.592250701,3.987064172
MSI2,6.355143088,6.299541913,5.348245744,5.95762349,4.121212238,6.265281539,6.871931085,5.859066545,5.591987245,4.50213593,4.753508851,4.397908287,6.409507778
SCIN,4.304107698,2.942576843,2.92478244,3.926639686,2.258612856,2.92478244,2.92478244,2.258612856,3.304039455,4.706595392,2.258612856,3.926040554,3.443711282
SCIN,3.655277866,2.284281589,2.29178844,3.178702234,2.29178844,2.29178844,2.29178844,2.29178844,3.071869216,2.29178844,2.29178844,2.29178844,2.29178844
CTCFL,2.240090673,4.365244461,2.557127213,5.015093495,2.495342691,2.557127213,5.55446967,3.686904604,2.557127213,2.557127213,2.364566385,2.925080266,2.484668511
C4orf33,7.128736436,3.089843973,6.628662743,5.090397606,6.531956371,6.136077076,6.531956371,6.898555782,7.335824075,6.282120298,6.634729881,6.432195051,5.646657848
RDH10,8.796024121,5.31427247,4.464132184,6.406790154,7.788355177,8.81379947,8.691118288,8.151420503,6.837412103,7.546234017,7.370812554,6.471145494,5.718118832
SRSF12,3.907292514,4.065149767,3.044505391,3.907292514,2.584980402,3.907292514,4.94035335,4.330017661,5.39510691,3.962113996,3.960107735,3.9392741,3.625110536
FLJ30901,2.240090673,2.240090673,2.240090673,2.240090673,5.705965185,2.240090673,2.240090673,2.240090673,2.737192676,3.632866157,2.413095779,2.327694187,2.240090673
C8orf47,2.539218017,2.291382435,2.600438008,2.414039189,2.549146247,2.600438008,2.600438008,2.302759384,2.930711349,2.62645476,2.593685168,2.600438008,2.600438008
C8orf47,2.405559431,2.405559431,2.240090673,2.277478998,2.405559431,2.405559431,3.142964069,2.405559431,4.146529061,2.350883896,2.545552539,2.405559431,2.591671487
C15orf27,6.918199167,6.264771129,7.206713901,6.338333176,4.669538345,5.403146898,7.093989741,6.504486389,6.588034129,5.834560111,6.295341622,4.848769384,4.384681741
NEDD1,5.721013868,6.395083216,5.452040286,6.388917504,4.717696186,4.781216674,6.01419562,5.584466014,5.203997489,3.477294722,3.082844809,4.468599136,5.89298538
C10orf25,3.298874119,4.074297442,3.355999758,3.876562568,3.387868786,4.850732219,3.318684224,3.51766837,3.355999758,3.284285922,2.993246822,2.324701514,3.355999758
ETV3,2.389882725,2.302021083,2.411709479,2.389882725,2.389911771,2.240090673,2.389882725,2.389882725,2.389882725,2.470888906,3.280268118,5.094896874,2.412368822
WDR17,7.630347557,7.905604618,7.351143312,8.279865812,6.799525841,7.640151001,8.235636815,7.763521558,7.908745558,7.555924891,6.524843282,7.829079068,8.8096789
PRUNE2,4.391447934,3.397949475,6.391488071,4.427059584,8.007631959,3.491630569,5.75765671,4.314527236,4.229855,5.524829839,7.867398964,8.670028422,8.022518736
ADAMTSL1,5.320148373,5.803389005,6.659420398,4.726380046,4.856751172,5.270376153,4.378227507,4.378227507,3.136131019,3.408498671,3.400432958,4.038810634,3.471347475
ACAP2,6.273812214,5.789828979,4.798329018,5.639509265,4.400932926,5.110771155,5.989908267,5.807192255,5.091754652,4.740820537,4.015937244,4.225318189,5.080762527
GAMT,7.4770808,6.478426468,6.402971632,6.505055782,4.744527001,6.14347261,6.419449527,6.484196679,6.478426468,6.478426468,6.23964369,5.084513464,5.95507431
GAMT,8.267116083,6.075906892,6.837634964,6.775165083,5.191007296,7.263371658,6.538231871,7.423731632,7.284513925,6.999362039,6.384757901,5.355586277,5.054743199
IRF6,2.519268254,2.282442761,2.282442761,2.360889469,2.282442761,2.240090673,3.093733647,2.519268254,5.37326568,3.408363614,2.735068082,3.39484457,3.939773502
MAN1A2,4.363770562,5.816202598,4.207945134,4.958927536,3.335443419,5.329726501,4.620682976,4.130031534,5.488142577,3.823724907,3.972586718,3.559759602,4.501579801
RAPH1,2.243687702,2.243687702,2.252342314,2.240090673,2.30058655,2.240090673,2.243687702,2.243687702,2.243687702,2.617567262,4.205686832,5.272193709,2.962540748
LACTB,5.495923498,5.4815441,3.809046195,5.302998866,5.392845761,5.481942855,5.509145564,6.607039376,5.053314388,3.054305121,2.757029358,2.635625727,3.932653567
LACTB,6.633002082,6.167717311,4.028617834,6.286250763,5.575145137,6.420865841,6.028608614,6.951928182,6.181819375,4.028617834,3.785029504,3.139761408,4.686915664
MPP4,2.244464726,2.244464726,2.244464726,2.244464726,2.244464726,2.240090673,2.754594983,4.000546839,2.244464726,2.244464726,2.244464726,2.244464726,2.244464726
COBL,4.436654182,2.596136656,2.377555726,2.318196305,2.318196305,2.318196305,3.239951389,3.7714242,4.726749225,2.751577048,4.778057279,2.463495435,2.945852505
RHBDL2,2.240090673,2.240090673,2.240090673,2.240090673,2.241054337,2.240090673,2.240090673,2.240090673,2.240090673,2.642120917,2.240090673,2.240090673,2.240090673
WBP2NL,2.240090673,2.240090673,2.240090673,2.240090673,4.208651859,2.240090673,2.240090673,2.240090673,2.240090673,2.240090673,2.240090673,2.240090673,2.240090673
ACVR1C,10.5585987,8.489350868,8.412674493,7.785960694,7.687190674,8.42803567,10.11666772,10.37941387,9.084370207,8.906083583,6.308273868,6.487378764,8.911087063
TMEM74,5.745405601,4.668352157,3.210264327,5.518591763,3.071593473,2.292541027,4.235660422,3.444286098,2.848179368,2.259935412,2.240090673,2.259935412,2.41827992
TMEM74,6.646301302,6.55098502,6.462822559,6.987765807,5.139753514,2.764346167,5.83653148,4.709228382,4.539696794,2.837853439,2.48020494,2.786313929,3.492713439
ATP6V1C2,2.240791153,2.240090673,2.240791153,2.240791153,2.240791153,2.797716108,2.272784091,3.182455729,3.191702469,5.863006343,4.569768316,4.524735445,3.675781368
STON2,3.520439345,3.388657187,2.687198206,2.787570153,2.687198206,3.388657187,2.951780151,2.997901884,3.965220607,3.388657187,3.40807854,3.388657187,3.672276061
ZDHHC15,6.208816229,6.793093262,6.313909773,5.080265431,6.487463063,6.096893399,6.693048757,5.604059889,5.447175092,5.181936675,4.324793884,4.066150706,4.934411695
ZNF570,4.614260944,3.508815987,2.973706013,3.128655931,2.731355488,4.645556001,2.902219506,2.999004608,2.999004608,2.99931733,2.999004608,2.92476982,2.999004608
NUDT9P1,3.95576669,3.95576669,3.95576669,3.95576669,3.981277737,4.49207843,4.197981024,4.018091785,3.647939336,3.95576669,6.11138794,6.67892554,4.744180106
C6orf141,2.381425983,2.381425983,2.381425983,2.381425983,2.381425983,2.381425983,2.604016738,2.381425983,3.072005933,3.70395127,3.967218053,6.117374785,2.467696755
MYO3B,6.145718026,2.75859903,2.503631694,3.141068032,3.458889278,4.867036294,5.784582112,6.066881464,4.421319647,4.252071153,2.240090673,2.654737453,3.577458708
ADAM21,2.358739517,2.273772605,2.240090673,2.273772605,2.240371447,2.240371447,2.634774995,2.273772605,2.240371447,2.273772605,2.240371447,2.273772605,2.240371447
TMEM190,3.278934068,3.278934068,2.783364893,3.625612336,9.33980385,3.304836122,6.755030567,4.42979653,5.853391001,6.310605643,4.254994008,5.833191721,3.58216546
KCNG4,2.240090673,2.240090673,2.240090673,2.240090673,2.240090673,2.240090673,2.240090673,2.240090673,2.240090673,2.352174302,2.240090673,2.240090673,2.240090673
JAK1,7.004900927,8.015532179,6.494687922,7.738845797,7.458512759,8.291979282,8.162670314,7.684051665,7.739278398,6.483023909,6.476845622,5.79240654,8.267853807
JAK1,9.216525717,10.12048299,9.928709453,10.35862356,10.08561426,10.92058867,10.42002705,9.840909709,10.38241267,10.09134245,10.33777858,10.62044179,11.32716534
CDC42SE2,6.460622812,6.251556201,3.391807751,6.248068119,4.667320391,5.974041547,6.046443371,7.172407613,6.127122949,4.175795978,3.80639705,2.775264602,5.236495992
CDC42SE2,6.577326574,6.760179691,6.192832951,6.666640315,5.501322333,6.769312126,6.313560118,7.487248112,6.697077076,5.940776635,4.504337701,4.941998261,6.038686473
RFWD2,8.771428133,8.562524612,6.637848216,8.291692225,7.175958702,8.257766445,8.047042684,8.336724066,7.905470833,6.255510941,6.604464471,5.321784235,6.951327702
ANLN,2.486165105,2.293284626,6.610216875,6.97989126,2.940599946,2.246241026,5.772941907,3.955104002,2.246241026,2.241987713,2.241572062,2.241572062,2.241987713
